name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,16/01/2018,2.8,-3.3,0,1.3,-8.4,-3.4,-2.8,81.5,0.232,100,4.17,"rain,snow",0,0,50,16.2,51.8,1031.1,88,15.9,43.5,3.7,2,,2018-01-16T07:17:33,2018-01-16T16:54:27,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,17/01/2018,2.8,-3.9,0.6,2.8,-8.1,-2.2,-2.1,82.7,1.325,100,54.17,"rain,snow",0.2,0,63,16.4,314,1023.5,83.1,14.6,28.8,2.4,2,,2018-01-17T07:17:05,2018-01-17T16:55:35,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,18/01/2018,0.2,-6.2,-3.1,-4.4,-11.4,-7.3,-11.4,54.1,0,0,0,,0.1,0.1,44.6,20.6,302.3,1017,2.5,16,119.2,10.4,5,,2018-01-18T07:16:35,2018-01-18T16:56:45,0.06,Clear,Clear conditions throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,19/01/2018,4.7,-3.7,0.4,1.6,-8.4,-3.1,-9.6,47.3,0,0,0,,0.2,0.1,37.1,18.4,258.1,1016.5,15.4,16,76.8,6.8,4,,2018-01-19T07:16:02,2018-01-19T16:57:55,0.09,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,20/01/2018,11.4,3.4,7,11.4,-0.3,4.5,-4.9,42.8,0,0,0,,0,0.1,50,31.7,251.9,1012.8,17.1,16,127.5,11,6,,2018-01-20T07:15:28,2018-01-20T16:59:05,0.12,Clear,Clear conditions throughout the day.,clear-day,"72505394728,C9476,KLGA,KNYC,F1417,72503014732"
new york,21/01/2018,10.3,6.2,8.1,10.3,4.1,7.1,-1.4,51.5,0,0,0,,0,0,,11.2,295.5,1020.3,40.7,16,112.1,9.7,5,,2018-01-21T07:14:51,2018-01-21T17:00:17,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,22/01/2018,9.4,3.2,5.8,9.4,-0.2,3.8,2.8,81.3,0.22,100,4.17,rain,0,0,25.9,17.3,54,1020.8,94.7,9.5,57.9,5.1,3,,2018-01-22T07:14:13,2018-01-22T17:01:28,0.19,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,23/01/2018,15.3,3,9.1,15.3,0.1,7.9,5.4,80.4,7.652,100,37.5,rain,0,0,51.4,30.6,259.3,1006.7,82,9.3,41.9,3.5,3,,2018-01-23T07:13:32,2018-01-23T17:02:40,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,24/01/2018,6.8,-2,3.7,3.6,-7.7,-0.2,-5.5,50.9,0,0,0,,0,0,43.6,23.8,291.4,1013.5,51.1,16,111.3,9.7,6,,2018-01-24T07:12:49,2018-01-24T17:03:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,25/01/2018,1.1,-4.8,-1.9,-1.5,-10.5,-6.7,-15,38.6,0,0,0,,0,0,38.5,24,320.5,1028.1,11.7,16,130.8,11.3,6,,2018-01-25T07:12:05,2018-01-25T17:05:06,0.3,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,26/01/2018,3.4,-3,-0.1,1.1,-6.1,-2.4,-13,38.2,0,0,0,,0,0,25.9,16.6,219,1037.7,15.4,16,126.3,10.8,6,,2018-01-26T07:11:18,2018-01-26T17:06:19,0.33,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,27/01/2018,13,2.1,7.8,13,-0.4,6.6,-0.3,57.8,0,0,0,,0,0,35.4,18.4,214.2,1029.7,19.2,16,105.5,9.2,5,,2018-01-27T07:10:30,2018-01-27T17:07:33,0.37,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
new york,28/01/2018,12.3,7.9,9.8,12.3,5.8,9.3,5.5,75.4,6.207,100,50,rain,0,0,37.1,20,259.9,1023.7,92.6,14.7,26.3,2.3,2,,2018-01-28T07:09:40,2018-01-28T17:08:47,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,29/01/2018,7.8,3.3,5.7,5.9,-1.7,1.8,-1.5,59.9,1.443,100,4.17,rain,0,0,48.2,30.8,41.9,1020.9,47.9,16,64.7,5.5,3,,2018-01-29T07:08:48,2018-01-29T17:10:01,0.44,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
